client_number,tickets_25_26,tickets_24_25,tickets_23_24,tickets_22_23,tickets_21_22,tickets_19_20,tickets_18_19,tickets_17_18,tickets_16_17,tickets_15_16,tickets_14_15
10930,0,1,1,0,0,1,1,1,1,1,1
10933,0,1,1,1,1,1,1,1,1,1,1
10935,1,1,1,1,1,1,1,1,1,1,1
10937,0,1,1,1,1,1,1,1,1,1,1
10938,0,1,1,1,1,1,1,1,1,1,1
10938,0,1,1,1,1,1,1,1,1,1,1
10938,0,1,1,1,1,1,1,1,1,1,1
10944,1,1,1,1,1,1,1,1,1,1,1
10945,1,1,1,1,1,1,1,1,1,1,1
10946,1,1,1,1,1,1,1,1,1,1,1
10948,1,1,1,1,1,1,1,1,1,1,1
10949,1,1,1,1,1,1,1,1,1,1,1
10951,1,1,1,1,1,1,1,1,1,1,1
10951,1,1,1,1,1,1,1,1,1,1,1
10951,1,1,1,1,1,1,1,1,1,1,1
10951,1,1,1,1,1,1,1,1,1,1,1
10951,1,1,1,1,1,1,1,1,1,1,1
10951,1,1,1,1,1,1,1,1,1,1,1
10951,1,1,1,1,1,1,1,1,1,1,1
10951,1,1,1,1,1,1,1,1,1,1,1
10951,1,1,1,1,1,1,1,1,1,1,1
10951,1,1,1,1,1,1,1,1,1,1,1
10951,1,1,1,1,1,1,1,1,1,1,1
10951,1,1,1,1,1,1,1,1,1,1,1
10953,0,0,1,1,1,1,1,1,1,1,1
10955,0,1,1,0,0,1,1,1,1,1,1
10955,0,1,1,0,0,1,1,1,1,1,1
10955,0,1,1,0,0,1,1,1,1,1,1
10956,1,1,1,1,1,1,1,1,1,1,1
10957,1,1,1,1,1,1,1,1,1,1,1
10959,0,1,1,1,1,1,1,1,1,1,1
10962,1,1,1,1,1,1,1,1,1,1,1
10963,1,1,1,1,1,1,1,1,1,1,1
10964,0,1,1,1,1,1,1,1,1,1,1
10968,1,1,1,1,1,1,1,1,1,1,1
10970,1,1,1,1,1,1,1,1,1,1,1
10971,1,1,1,1,1,1,1,1,1,1,1
10972,0,1,1,1,1,1,1,1,1,1,0
10976,0,1,1,1,1,1,1,1,1,1,1
10977,1,1,1,1,1,0,0,0,0,0,1
10979,0,0,1,1,1,1,1,1,1,1,1
10990,0,1,1,1,1,1,1,1,1,1,1
10994,0,1,1,1,1,1,1,1,1,1,1
10994,0,1,1,1,1,1,1,1,1,1,1
10997,1,1,1,1,1,1,1,1,1,1,1
10999,1,1,1,1,1,1,1,1,1,1,1
11002,1,1,1,1,1,1,1,1,1,1,1
11004,1,1,1,1,1,1,1,1,1,1,1
11008,1,1,1,1,1,1,1,1,1,1,1
